FACILITY NAME,Full Address,Street #,Street Name,Suite,City,Province,Postal Code,Ward,Performance,Exhibition / Visual Arts,Screen Based,Library,Multipurpose,Heritage,OWNERSHIP,,,
Humberwood Library & Community Centre,"850 Humberwood Boulevard, Toronto, ON, M9W 7A6",850,Humberwood Boulevard,,Toronto,ON,M9W 7A6,2,1,,,1,1,,City Owned,,,
Msg. Percy Johnson Catholic Secondary School,"2170 Kipling Avenue, Toronto, ON, M9W 4K9",2170,Kipling Avenue,,Toronto,ON,M9W 4K9,2,1,,,,1,,Owned by others,,,
Rexdale Branch (TPL),"2243 Kipling Avenue, Toronto, ON, M9W 4L3",2243,Kipling Avenue,,Toronto,ON,M9W 4L3,2,,,,1,,,City Owned,,,
Winston Churchill Collegiate Institute,"2239 Lawrence Avenue East, Toronto, ON, M1P 2P7  ",2239,Lawrence Avenue East,,Toronto,ON,M1P 2P7  ,2,1,,,,1,,Owned by others,,,
Woodbine Racetrack,"555 Rexdale Boulevard, Toronto, ON, M9W 5L2",555,Rexdale Boulevard,,Toronto,ON,M9W 5L2,2,,1,,,1,,Owned by others,,,
Northern Elms Branch (TPL),"123 Rexdale Boulevard, B, Toronto, ON, M9W 0B1",123,Rexdale Boulevard,B,Toronto,ON,M9W 0B1,2,,,,1,,,City Owned,,,
Don Bosco Catholic Secondary School,"2 St. Andrews Boulevard, Toronto, ON, M6P 2R7",2,St. Andrews Boulevard,,Toronto,ON,M6P 2R7,2,1,,,,1,,Owned by others,,,
St. Philip's Anglican Church,"31 St. Phillips Road, Toronto, ON, M9P 2N7",31,St. Phillips Road,,Toronto,ON,M9P 2N7,2,1,,,,1,,Owned by others,,,
Microskills ,"1 Vulcan St. , Toronto, ON, M9W 1L3",1,Vulcan St. ,,Toronto,ON,M9W 1L3,2,1,,,,,,Owned by others,,,
Elmbrook Park Branch (TPL),"2 Elmbrook Crescent, Toronto, ON, M9C 5B4",2,Elmbrook Crescent,,Toronto,ON,M9C 5B4,3,,,,1,,,City Operated,,,
John G. Althouse CS,"130 Lloyd Manor Road, Toronto, ON, M9B 5K1",130,Lloyd Manor Road,,Toronto,ON,M9B 5K1,3,,1,,,1,,City Operated,,,
Silverthorn Collegiate Institute,"291 Mill Road, Toronto, ON, M9C 1Y5",291,Mill Road,,Toronto,ON,M9C 1Y5,3,1,,,,1,,Owned by others,,,
Neilson Park Creative Centre,"56 Neilson Drive, Toronto, ON, M9C 1V7",56,Neilson Drive,,Toronto,ON,M9C 1V7,3,,1,,,1,,City Owned,,,
Church of Christ the King,"475 Rathburn Road, Toronto, ON, M9C 3S9",475,Rathburn Road,,Toronto,ON,M9C 3S9,3,1,,,,1,,Owned by others,,,
Centennial Park and Etobicoke Olympium (The Olympic Lounge & Committee Room),"590 Rathburn Road, Toronto, ON, M9C 3T3
",590,Rathburn Road,,Toronto,ON,"M9C 3T3
",3,,,,,1,,City Owned,,,
Hollycrest Middle School,"630 Renforth Drive, Toronto, ON, M9C 2N6",630,Renforth Drive,,Toronto,ON,M9C 2N6,3,,,1,,1,,City Operated,,,
Burnhamthorpe Auditorium (Etobicoke Musical Theatre Productions),"500 The East Mall, Toronto, ON, M9B 4A3",500,The East Mall,,Toronto,ON,M9B 4A3,3,1,,,,,,Owned by others,,,
Etobicoke Civic Centre,"399 The West Mall, Toronto, ON, M9C 2Y2",399,The West Mall,,Toronto,ON,M9C 2Y2,3,1,1,,,1,1,City Owned,,,
Applewood Shaver House (J.S. Woodsworth Homestead),"450 The West Mall, Toronto, ON, M9C 1E9",450,The West Mall,,Toronto,ON,M9C 1E9,3,,1,,,1,1,City Owned,,,
Bloordale CS,"10 Toledo Road, Toronto, ON, M9C 2H3",10,Toledo Road,,Toronto,ON,M9C 2H3,3,,,,,1,,City Operated,,,
Martin Grove Collegiate Institute,"50 Winterton Drive, Toronto, ON, M9B 3G9",50,Winterton Drive,,Toronto,ON,M9B 3G9,3,1,,,,1,,Owned by others,,,
Montgomery's Inn,"4709 Dundas Street West, Toronto, ON, M9A 1A8",4709,Dundas Street West,,Toronto,ON,M9A 1A8,4,1,1,,,1,1,City Owned,,,
Richview Branch (TPL),"1806 Islington Avenue, Toronto, ON, M9P 3N3",1806,Islington Avenue,,Toronto,ON,M9P 3N3,4,,1,,1,1,,City operated,,,
St. Matthias Anglican Church (Etobicoke) ,"1428 Royal York Road, Toronto, ON, M9P 3A8 ",1428,Royal York Road,,Toronto,ON,M9P 3A8 ,4,1,,,,1,,Owned by others,,,
Scarlett Heights Entrepreneurial Academy,"15 Trehorne Drive, Toronto, ON, M9P 1N8",15,Trehorne Drive,,Toronto,ON,M9P 1N8,4,1,,,,1,,Owned by others,,,
Humber Valley United Church ,"76 Anglesey Boulevard, Toronto, ON, M9A 3C1",76,Anglesey Boulevard,,Toronto,ON,M9A 3C1,4,1,,,,1,,Owned by others,,,
Etobicoke Collegiate,"86 Montgomery Road, Toronto, ON, M9A 3N5",86,Montgomery Road,,Toronto,ON,M9A 3N5,4,1,,,,1,,Owned by others,,,
Park Lawn CS,"71 Ballacaine Drive, Toronto, ON, M8Y 4B6",71,Ballacaine Drive,,Toronto,ON,M8Y 4B6,5,,,,,1,,City Operated,,,
Kingsway Conservatory of Music (Great Room),"2848 Bloor Street West, Toronto, ON, M8X 1A9",2848,Bloor Street West,,Toronto,ON,M8X 1A9,5,1,,,,,,Owned by others,,,
All Saints Kingsway Anglican Church,"2850 Bloor Street West, Toronto, ON, M8X 1B2",2850,Bloor Street West,,Toronto,ON,M8X 1B2,5,1,,,,1,,Owned by others,,,
Our Lady of Sorrows Church,"3055 Bloor Street West, Toronto, ON, M8X 1C6",3055,Bloor Street West,,Toronto,ON,M8X 1C6,5,1,,,,1,,Owned by others,,,
Assembly Hall,"3326 Bloor Street West, Toronto, ON, M8X 1E8",3326,Bloor Street West,,Toronto,ON,M8X 1E8,5,1,,,,1,,City Owned,,,
Bloorlea Middle School (TDSB),"4050 Bloor Street West, Toronto, ON, M9B 1M5",4050,Bloor Street West,,Toronto,ON,M9B 1M5,5,1,,,,1,,Owned by others,,,
Brentwood Branch (TPL),"36 Brentwood Road North, Toronto, ON, M8X 2B5",36,Brentwood Road North,,Toronto,ON,M8X 2B5,5,1,,,1,1,,City Operated,,,
Islington United Church,"25 Burnhamthorpe Road, Toronto, ON, M9A 1G9",25,Burnhamthorpe Road,,Toronto,ON,M9A 1G9,5,1,,,,1,1,Owned by others,,,
Eatonville Branch (TPL),"430 Burnhamthorpe Road, Toronto, ON, M9B 2B1",430,Burnhamthorpe Road,,Toronto,ON,M9B 2B1,5,1,,,1,1,,City Operated,,,
Golden Lion Restaurant (Banquet Hall),"15 Canmotor Avenue, Toronto, ON, M8Z 4E4",15,Canmotor Avenue,,Toronto,ON,M8Z 4E4,5,,,,,1,,Owned by others,,,
Islington CS,"44 Cordova Avenue, Toronto, ON, M9A 2H5",44,Cordova Avenue,,Toronto,ON,M9A 2H5,5,,,,,1,,City Operated,,,
Arts Etobicoke Gallery,"4893 Dundas Street West, A, Toronto, ON, M9A 1B2",4893,Dundas Street West,A,Toronto,ON,M9A 1B2,5,,1,,,,,Owned by others,,,
Holy Angels Church & Parish Hall,"61 Jutland Road, Toronto, ON, M8Z 2G6",61,Jutland Road,,Toronto,ON,M8Z 2G6,5,1,,,,1,,Owned by others,,,
Cinespace Studio Space,"777 Kipling Avenue, Toronto, ON, M8Z 5Z4",777,Kipling Avenue,,Toronto,ON,M8Z 5Z4,5,,,1,,,,Owned by others,,,
Norseman CS,"105 Norseman Street, Toronto, ON, M8Z 2R1",105,Norseman Street,,Toronto,ON,M8Z 2R1,5,1,,,,1,,City Operated,,,
Humber Bay Branch (TPL),"200 Park Lawn Road, Toronto, ON, M8Y 3J1",200,Park Lawn Road,,Toronto,ON,M8Y 3J1,5,,,,1,,,City Operated,,,
St. Mark's Church,"277 Park Lawn Road, Toronto, ON, M8Y 3J7",277,Park Lawn Road,,Toronto,ON,M8Y 3J7,5,1,,,,1,,Owned by others,,,
Etobicoke School of the Arts,"675 Royal York Road, Toronto, ON, M8Y 2T1",675,Royal York Road,,Toronto,ON,M8Y 2T1,5,1,1,1,,1,,Owned by others,,,
Royal York Road United Church,"851 Royal York Road, Toronto, ON, M8Y 2V3",851,Royal York Road,,Toronto,ON,M8Y 2V3,5,1,,,,1,,Owned by others,,,
Church on the Queensway,"1536 The Queensway, Toronto, ON, M8Z 1T5",1536,The Queensway,,Toronto,ON,M8Z 1T5,5,1,,,,1,,Owned by others,,,
Sherway Gardens (Gallery in the Garden),"25 The West Mall, Toronto, ON, M9C 1B8",25,The West Mall,,Toronto,ON,M9C 1B8,5,,1,,,,,Owned by others,,,
The Assembly Hall,"1 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B6",1,Colonel Samuel Smith Park Drive,,Toronto,ON,M8V 4B6,6,1,1,,,1,,City Owned,,,
L Space Gallery (Humber College),"21 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B6",21,Colonel Samuel Smith Park Drive,,Toronto,ON,M8V 4B6,6,,1,,,,,Owned by others,,,
Humber College Lake Shore Campus,"21 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B6",21,Colonel Samuel Smith Park Drive,,Toronto,ON,M8V 4B6,6,1,,,,1,,Owned by others,,,
New Toronto Studios,"23 Buckingham Street, Toronto, ON, M8Y 1A8",23,Buckingham Street,,Toronto,ON,M8Y 1A8,6,,,1,,,,Owned by others,,,
Father John Redmond CSS and Regional Arts Centre,"28 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B7",28,Colonel Samuel Smith Park Drive,,Toronto,ON,M8V 4B7,6,1,,,,1,,City owned,,,
New Toronto Branch (TPL),"110 Eleventh Street, Toronto, ON, M8V 3G5",110,Eleventh Street,,Toronto,ON,M8V 3G5,6,1,,,1,,,City Owned,,,
Lakeshore Village Artist’s Co-Op,"50 Etta Wylie Rd, Etobicoke, ON M8V 3Z7 
",50,Etta Wylie Road,,Toronto,ON,"M8V 3Z7
",6,,1,,,,,Owned by others,,,
Lake Shore Collegiate Institute,"350 Kipling Avenue, Toronto, ON, M8V 3K8",350,Kipling Avenue,,Toronto,ON,M8V 3K8,6,,1,,,1,,Owned by others,,,
Birds and Beans Coffee House,"2413 Lake Shore Boulevard West, Toronto, ON, M8V 1C5",2413,Lake Shore Boulevard West,,Toronto,ON,M8V 1C5,6,,1,,,,,Owned by others,,,
Lakeshore Arts,"2733 Lake Shore Boulevard West, Suite 214, Toronto, ON, M8V 1G9",2733,Lake Shore Boulevard West,Suite 214,Toronto,ON,M8V 1G9,6,1,1,1,,1,,Owned by others,,,
Humber Theatre,"3199 Lake Shore Boulevard West, Building L, Toronto, ON, M8V 1K8",3199,Lake Shore Boulevard West,Building L,Toronto,ON,M8V 1K8,6,1,1,,,1,,Owned by others,,,
Long Branch (TPL),"3500 Lake Shore Boulevard West, Toronto, ON, M8W 3H4",3500,Lake Shore Boulevard West,,Toronto,ON,M8W 3H4,6,1,,,1,,,City Owned,,,
Lake Shore Studios,"2264 Lake Shore Boulevard West, Toronto, ON, M8V 0B1",2264,Lake Shore Boulevard West,,Toronto,ON,M8V 0B1,6,,1,1,,,,Owned by others,,,
St. Agnes (Long  Branch),"69 Long Branch Avenue, Toronto, ON, M8W 1P4",69,Long Branch Avenue,,Toronto,ON,M8W 1P4,6,1,,,,,,Owned by others,,,
John English Community School,"95 Mimico Avenue, Toronto, ON, M8W 1R4",95,Mimico Avenue,,Toronto,ON,M8W 1R4,6,1,,,,,,Owned by others,,,
Mimico Presbytarian Church,"119 Mimico Avenue, Toronto, ON, M8W 1R6",119,Mimico Avenue,,Toronto,ON,M8W 1R6,6,1,,,,1,,Owned by others,,,
Alderwood Library,"2 Orianna Drive, Toronto, ON, M8W 4Y1",2,Orianna Drive,,Toronto,ON,M8W 4Y1,6,,,,1,,,City Owned,,,
Ourland Community Centre,"18 Ourland Avenue, Toronto, ON, M8Z 4C8",18,Ourland Avenue,,Toronto,ON,M8Z 4C8,6,1,,,,1,,City Owned,,,
Ukrainian Academy of Dance,"80 Park Lawn Road, Toronto, ON, M8Y 3H8",80,Park Lawn Road,,Toronto,ON,M8Y 3H8,6,1,,,,,,Owned by others,,,
"St. Margaret, New Toronto","156 Sixth Street, Toronto, ON, M8V 3A8",156,Sixth Street,,Toronto,ON,M8V 3A8,6,1,,,,,,Owned by others,,,
Wesley Mimico United Church,"2 Station Road, Toronto, ON, M8V 2R1",2,Station Road,,Toronto,ON,M8V 2R1,6,1,,,,,,Owned by others,,,
Mimico Centennial Branch (TPL) (Theatre),"47 Station Road, Toronto, ON, M8V 2R1",47,Station Road,,Toronto,ON,M8V 2R1,6,1,,,1,,,City Operated,,,
Dale M Reid Photography Studio,"146 Thirtieth Street, Studio 23, Toronto, ON, M8W 3C4",146,Thirtieth Street,Studio 23,Toronto,ON,M8W 3C4,6,,1,,,,,Owned by others,,,
Arts Etobicoke,"25 Whitlam Avenue, Toronto, ON, M8V 2K2",25,Whitlam Avenue,,Toronto,ON,M8V 2K2,6,,1,,,1,,City Owned,,,
The Jamaican Canadian Association,"995 Arrow Road, Toronto, ON, M9M 2Z5",995,Arrow Road,,Toronto,ON,M9M 2Z5,7,,,,,1,,Owned by others,,,
Humber Summit Branch (Library),"2990 Islington Avenue, Toronto, ON, M9L 2K9",2990,Islington Avenue,,Toronto,ON,M9L 2K9,7,1,,,1,,,City Owned,,,
St. Philip Neri Church,"2100 Jane Street, Toronto, ON, M3M 1A1",2100,Jane Street,,Toronto,ON,M3M 1A1,7,1,,,,,,Owned by others,,,
Beverly Hills United Church,"36 Loney Avenue, Toronto, ON, M3L 1G3",36,Loney Avenue,,Toronto,ON,M3L 1G3,7,1,,,,,,Owned by others,,,
La Contessa Banquet Hall and Convention Centre,"69 Milvan Drive, Toronto, ON, M9L 1Z1",69,Milvan Drive,,Toronto,ON,M9L 1Z1,7,1,,,,1,,Owned by others,,,
Riverside-Emery United Church,"2799 Weston Road, Toronto, ON, M9M 2R9",2799,Weston Road,,Toronto,ON,M9M 2R9,7,1,,,,,,Owned by others,,,
Carmine Stefano Community Centre,"3100 Weston Road, Toronto, ON, M9M 2S7",3100,Weston Road,,Toronto,ON,M9M 2S7,7,1,1,,,1,,City Owned,,,
Black Creek Branch (TPL),"1700 Wilson Avenue, Toronto, ON, M3L 1B2",1700,Wilson Avenue,,Toronto,ON,M3L 1B2,7,1,,,,,,City Owned,,,
Karma Creative Studio,"3962 Chesswood Drive, Toronto, ON, M3J 2W6",3962,Chesswood Drive,,Toronto,ON,M3J 2W6,8,,1,,,,,Owned by others,,,
Club Viva Dance,"4100 Chesswood Drive, Unit 201, Toronto, ON, M3J 2B8",4100,Chesswood Drive,Unit 201,Toronto,ON,M3J 2B8,8,1,,,,,,Owned by others,,,
Revivaltime Tabernacle,"4340 Dufferin Street, Toronto, ON, M3H 5R9",4340,Dufferin Street,,Toronto,ON,M3H 5R9,8,,,,,1,,Owned by others,,,
Upfront Studio Theatre,"1290 Finch Avenue West, Unit 17, Toronto, ON, M3J 3K3",1290,Finch Avenue West,Unit 17,Toronto,ON,M3J 3K3,8,1,,,,,,Owned by others,,,
York Woods (Branch + Arts Hub + Theatre) (TPL),"1785 Finch Avenue West, Toronto, ON, M3N 1M6",1785,Finch Avenue West,,Toronto,ON,M3N 1M6,8,1,1,,1,1,,City Operated,,,
"York University, Joan and Martin Goldfarb Centre for Fine Arts","86 Fine Arts Road, Toronto, ON, M3J 1P3",86,Fine Arts Road,,Toronto,ON,M3J 1P3,8,,1,,,,1,Owned by others,,,
Oakdale Community Centre,"350 Grandravine Drive, Toronto, ON, M3N 1J4",350,Grandravine Drive,,Toronto,ON,M3N 1J4,8,,,,,1,,City Owned,,,
Driftwood Community Centre,"4401 Jane Street, Toronto, ON, M3N 2K3",4401,Jane Street,,Toronto,ON,M3N 2K3,8,,,1,,1,,City Owned,,,
Art Gallery of York University,"4700 Keele Street, Toronto, ON, M3J 1P3",4700,Keele Street,,Toronto,ON,M3J 1P3,8,1,1,1,,1,1,Owned by others,,,
David and Mary Thomson Collegiate,"2740 Lawrence Avenue East, Toronto, ON, M1P 3S5",2740,Lawrence Avenue East,,Toronto,ON,M1P 3S5,8,1,,,,1,,Owned by others,,,
Black Creek Pioneer Village,"1000 Murray Ross Parkway, Toronto, ON, M3J 2P3",1000,Murray Ross Parkway,,Toronto,ON,M3J 2P3,8,,1,,,,1,Owned by others,,,
St. Augustine of Canterbury,"80 Shoreham Drive, Toronto, ON, M3N 1S9",80,Shoreham Drive,,Toronto,ON,M3N 1S9,8,1,,,,1,,Owned by others,,,
Yorkwoods Gate Community Centre,"20 Yorkwoods Gate, Toronto, ON, M3N 1J8",20,Yorkwoods Gate,,Toronto,ON,M3N 1J8,8,,,,,1,,City Owned,,,
Downsview Park,"35 Carl Hall Road, Toronto, ON, M3K 2B6",35,Carl Hall Road,,Toronto,ON,M3K 2B6,9,1,,,,,,Owned by others,,,
Toronto School of Circus Arts,"75 Carl Hall Road, 8, Toronto, ON, M3K 2B9",75,Carl Hall Road,8,Toronto,ON,M3K 2B9,9,1,,,,1,,Owned by others,,,
Northwood Community Centre,"15 Clubhouse Court, Toronto, ON, M3L 2K5",15,Clubhouse Court,,Toronto,ON,M3L 2K5,9,,,,,1,,City Owned,,,
Madonna Catholic Secondary School,"20 Dubray Avenue, Toronto, ON, M3K 1V5",20,Dubray Avenue,,Toronto,ON,M3K 1V5,9,1,,,,,,Owned by others,,,
Grandravine Community Recreation Centre,"23 Grandravine Dr., Toronto, ON, M3J 1B3",23,Grandravine Dr.,,Toronto,ON,M3J 1B3,9,1,1,,,1,,City Owned,,,
Downsview Secondary School,"7 Hawksdale Road, Toronto, ON, M3K 1W3",7,Hawksdale Road,,Toronto,ON,M3K 1W3,9,1,,,,1,,Owned by others,,,
Downsview Branch (TPL),"2793 Keele Street, Toronto, ON, M3M 2G3",2793,Keele Street,,Toronto,ON,M3M 2G3,9,1,,,1,,,City Owned,,,
Downsview United Church,"2822 Keele Street, Toronto, ON, M3M 2G6",2822,Keele Street,,Toronto,ON,M3M 2G6,9,1,,,,1,,Owned by others,,,
St. Norbert's Roman Catholic Parish,"100 Regent Road, Toronto, ON, M3K 1H1",100,Regent Road,,Toronto,ON,M3K 1H1,9,1,,,,1,,Owned by others,,,
Africentric Alternative School,"1430 Sheppard Avenue West, Toronto, ON, M3M 2W9",1430,Sheppard Avenue West,,Toronto,ON,M3M 2W9,9,1,,,,1,,Owned by others,,,
Lao Association of Ontario,"956 Wilson Avenue, Toronto, ON, M3K 1E7",956,Wilson Avenue,,Toronto,ON,M3K 1E7,9,1,1,,,1,,Owned by others,,,
Jane / Sheppard Branch (TPL),"1906 Sheppard Avenue West, Toronto, ON, M3L 1Y7",1906,Sheppard Avenue West,,Toronto,ON,M3L 1Y7,9,,,,1,,,City Owned,,,
Antibes Community Centre,"140 Antibes Drive, Toronto, ON, M2R 3J3",140,Antibes Drive,,Toronto,ON,M2R 3J3,10,,,,,1,,City Owned,,,
"Earl Bales Park (Barry Zukerman Amphitheatre, Community Centre)","4169 Bathurst Street, Toronto, ON, M3H 3P7",4169,Bathurst Street,,Toronto,ON,M3H 3P7,10,1,,,1,1,1,City Owned,,,
"The Koffler Centre of the Arts (Leo Posluns Theatre, Bathurst JCC, Donald Gales Family Pavilion)","4588 Bathurst Street, Toronto, ON, M2R 1W6",4588,Bathurst Street,,Toronto,ON,M2R 1W6,10,1,1,,,1,1,Owned by others,,,
Beth Emeth Bais Yehuda Synagogue,"100 Elder Street, Toronto, ON, M3H 4M1",100,Elder Street,,Toronto,ON,M3H 4M1,10,1,,,,1,,Owned by others,,,
Northview Heights Secondary School,"550 Finch Avenue West, Toronto, ON, M2R 1N6",550,Finch Avenue West,,Toronto,ON,M2R 1N6,10,1,,,,1,,Owned by others,,,
Centennial Branch (TPL),"578 Finch Avenue West, Toronto, ON, M2R 1N7",578,Finch Avenue West,,Toronto,ON,M2R 1N7,10,1,,,1,1,,City Owned,,,
Congregation B'nai Torah,"465 Patricia Avenue, Toronto, ON, M2R 2N1",465,Patricia Avenue,,Toronto,ON,M2R 2N1,10,1,,,,1,,Owned by others,,,
Beth Radom Congregation,"18 Reiner Road, Toronto, ON, M3H 3P7",18,Reiner Road,,Toronto,ON,M3H 3P7,10,1,,,,1,,Owned by others,,,
Glafira's Art Studio,"201 Robert Hicks Drive, Toronto, ON, M2R 3R3",201,Robert Hicks Drive,,Toronto,ON,M2R 3R3,10,,1,,,,,Owned by others,,,
Irving W Chapley CC,"205 Wilmington Avenue, Toronto, ON, M3H 6B3",205,Wilmington Avenue,,Toronto,ON,M3H 6B3,10,,,,,1,,City Owned,,,
Beth David  Bnai Is,"5 Yeomans Road, Toronto, ON, M3H 2G7",5,Yeomans Road,,Toronto,ON,M3H 2G7,10,1,,,,1,,Owned by others,,,
Harwood Hall,"85 Cayuga Avenue, Toronto, ON, M6N 2G4",85,Cayuga Avenue,,Toronto,ON,M6N 2G4,11,,,,,1,,City Owned,,,
Mount Dennis Community Hall,"4 Hollis Street, Toronto, ON, M6M 4P3",4,Hollis Street,,Toronto,ON,M6M 4P3,11,,,,,1,,City Owned,,,
UrbanArts,"19 John Street, Toronto, ON, M9N 1J2",19,John Street,,Toronto,ON,M9N 1J2,11,1,1,,,,,Owned by others,,,
Weston Branch (TPL),"2 King Street, Toronto, ON, M9N 1K9",2,King Street,,Toronto,ON,M9N 1K9,11,,,,1,1,1,City Operated,,,
Pelmo Park Community Centre,"171 Pellatt Avenue, Toronto, ON, M9N 2P5",171,Pellatt Avenue,,Toronto,ON,M9N 2P5,11,,,,,1,,City Owned,,,
Weston Collegiate Institute,"100 Pine Street, Toronto, ON, M9N 2Y9",100,Pine Street,,Toronto,ON,M9N 2Y9,11,1,,,,1,,Owned by others,,,
David Appleton Community Centre,"33 Pritchard Avenue, Toronto, ON, M9N 1T4",33,Pritchard Avenue,,Toronto,ON,M9N 1T4,11,,,,,1,,City Operated,,,
Mario del Monte Jr. (Cuban Percussion School),"11 Weston Road, Toronto, ON, M6N 5H2",11,Weston Road,,Toronto,ON,M6N 5H2,11,1,,,,,,Owned by others,,,
Mount Dennis Branch (TPL),"1123 Weston Road, Toronto, ON, M6N 3S3",1123,Weston Road,,Toronto,ON,M6N 3S3,11,1,,,1,1,,City Operated,,,
Learning Enrichment Foundation,"1267 Weston Road, Toronto, ON, M6M 4P9",1267,Weston Road,,Toronto,ON,M6M 4P9,11,,,,,1,,Owned by others,,,
1765 Weston Road (TCHC),"1765 Weston Road, Toronto, ON, M9N 1V5",1765,Weston Road,,Toronto,ON,M9N 1V5,11,,,,,1,,City Operated,,,
1775 Weston Road (TCHC),"1775 Weston Road, Toronto, ON, M9N 1V5",1775,Weston Road,,Toronto,ON,M9N 1V5,11,,,,,1,,City Operated,,,
Frontlines,"1844 Weston Road, Toronto, ON, M9N 1V5",1844,Weston Road,,Toronto,ON,M9N 1V5,11,,,,,1,,Owned by others,,,
Weston Park Baptist,"1871 Weston Road, Toronto, ON, M9N 1V9",1871,Weston Road,,Toronto,ON,M9N 1V9,11,1,,,,1,,Owned by others,,,
1901 Weston Road (TCHC),"1901 Weston Road, Toronto, ON, M9N 3P5",1901,Weston Road,,Toronto,ON,M9N 3P5,11,,,,,1,,City Operated,,,
St. David's Anglican,"8 Blackstone Street, Toronto, ON, M6L 3B7",8,Blackstone Street,,Toronto,ON,M6L 3B7,12,1,,,,1,,Owned by others,,,
Syme Woolner Neighbourhood and Family Centre,"2468 Eglinton Avenue West, Unit 3, Toronto, ON, M6M 5E2 ",2468,Eglinton Avenue West,Unit 3,Toronto,ON,M6M 5E2 ,12,,,,,1,,Owned by others,,,
York Memorial Collegiate Institute,"2690 Eglinton Avenue West, Toronto, ON, M6M 1T9",2690,Eglinton Avenue West,,Toronto,ON,M6M 1T9,12,1,1,,,,,Owned by others,,,
Centennial Recreation Centre (York Museum),"2694 Eglinton Avenue West, Toronto, ON, M6M 1T9",2694,Eglinton Avenue West,,Toronto,ON,M6M 1T9,12,,1,,,1,,City Owned,,,
York Civic Centre ,"2700 Eglinton Avenue West, Toronto, ON, M6M 1V1",2700,Eglinton Avenue West,,Toronto,ON,M6M 1V1,12,,,,,1,,City Owned,,,
Tha Spot Dance Centre,"130 Industry Street, 19, Toronto, ON, M6M 5G3",130,Industry Street,19,Toronto,ON,M6M 5G3,12,1,,,,,,Owned by others,,,
Russian Canadian Cultural Aid Society,"91 Kersdale Avenue, Toronto, ON, M6M 1E4",91,Kersdale Avenue,,Toronto,ON,M6M 1E4,12,,,,,1,,Owned by others,,,
Amesbury Park Branch (TPL),"1565 Lawrence Avenue West, Toronto, ON, M6L 1A8",1565,Lawrence Avenue West,,Toronto,ON,M6L 1A8,12,,,,1,,,City Owned,,,
